Timestamp,Packet_Length,Proto_TCP,Proto_UDP,Proto_ICMP,TCP_SYN,TCP_ACK,TCP_RST,Packet_Rate_1s
1785760980.684792,40,1,0,0,1,0,0,1.0
1785760980.700538,40,1,0,0,1,0,0,2.0
1785760980.716410,40,1,0,0,1,0,0,3.0
1785760980.731994,40,1,0,0,1,0,0,4.0
1785760980.746453,40,1,0,0,1,0,0,5.0
1785760980.762609,40,1,0,0,1,0,0,6.0
1785760980.777529,40,1,0,0,1,0,0,7.0
1785760980.793090,40,1,0,0,1,0,0,8.0
1785760980.808530,40,1,0,0,1,0,0,9.0
1785760980.824395,40,1,0,0,1,0,0,10.0
1785760980.839517,40,1,0,0,1,0,0,11.0
1785760980.854879,40,1,0,0,1,0,0,12.0
1785760980.869904,40,1,0,0,1,0,0,13.0
1785760980.884916,40,1,0,0,1,0,0,14.0
1785760980.889298,40,1,0,0,1,0,0,15.0
1785760980.899945,40,1,0,0,1,0,0,16.0
1785760980.915283,40,1,0,0,1,0,0,17.0
1785760980.930317,40,1,0,0,1,0,0,18.0
1785760980.945378,40,1,0,0,1,0,0,19.0
1785760980.960401,40,1,0,0,1,0,0,20.0
1785760980.975747,40,1,0,0,1,0,0,21.0
1785760980.990859,40,1,0,0,1,0,0,22.0
1785760981.006204,40,1,0,0,1,0,0,23.0
1785760981.021121,40,1,0,0,1,0,0,24.0
1785760981.035981,40,1,0,0,1,0,0,25.0
1785760981.050988,40,1,0,0,1,0,0,26.0
1785760981.066479,40,1,0,0,1,0,0,27.0
1785760981.081303,40,1,0,0,1,0,0,28.0
1785760981.096482,40,1,0,0,1,0,0,29.0
1785760981.111129,40,1,0,0,1,0,0,30.0
1785760981.126095,40,1,0,0,1,0,0,31.0
1785760981.141300,40,1,0,0,1,0,0,32.0
1785760981.156280,40,1,0,0,1,0,0,33.0
1785760981.171418,40,1,0,0,1,0,0,34.0
1785760981.186093,40,1,0,0,1,0,0,35.0
1785760981.200768,40,1,0,0,1,0,0,36.0
1785760981.201092,40,1,0,0,1,0,0,37.0
1785760981.216118,40,1,0,0,1,0,0,38.0
