Packet_Length,Proto_TCP,Proto_UDP,Proto_ICMP,TCP_SYN,TCP_ACK,TCP_RST,Packet_Rate_1s
-0.049579456501181327,1,0,0,0,1,0,0.2170110373898778
-0.5810433327183726,1,0,0,0,1,0,0.5241407420926577
0.38738857762529755,1,0,0,0,1,0,-0.334139528583604
-1.1419995418173785,1,0,0,0,1,0,-0.36359032218524046
-1.1966205460831885,1,0,0,1,0,0,-2.1516742194274525
0.6604935989543469,1,0,0,0,1,0,0.263290855906735
1.1520826373466357,1,0,0,0,1,0,1.18888722624388
-1.1966205460831885,1,0,0,1,0,0,-2.1516742194274525
0.7844817739268739,1,0,0,0,1,0,1.1825763419006723
1.2613246458782552,1,0,0,0,1,0,0.416855708258125
-1.0180113668448516,1,0,0,0,1,0,0.29274164950837145
1.2613246458782552,1,0,0,0,1,0,0.5010008328342291
-0.32268447783023063,1,0,0,0,1,0,-0.010180798965603269
0.23827173126877532,1,0,0,0,1,0,0.8775502653122949
-1.181874379642281,1,0,0,0,1,0,2.1544525307546745
-0.034833290060273976,1,0,0,0,1,0,0.08658609429691644
1.2613246458782552,1,0,0,0,1,0,-0.05435698936805792
-1.1419995418173785,1,0,0,0,1,0,0.28432713705076107
-1.1419995418173785,1,0,0,0,1,0,0.7050527599312815
-1.1966205460831885,1,0,0,1,0,0,-2.14957059131305
0.7151146032201567,1,0,0,0,1,0,0.8796538934266975
-1.1419995418173785,1,0,0,0,1,0,0.7008455037024763
1.1520826373466357,1,0,0,0,1,0,0.7471253222193336
-1.1419995418173785,1,0,0,0,1,0,0.20438926870346216
0.9335986202833962,1,0,0,0,1,0,0.25487634344912463
1.0575867952559233,1,0,0,0,1,0,0.3516432367116443
0.5659977568636345,1,0,0,0,1,0,0.5367625107790733
1.1520826373466357,1,0,0,0,1,0,-0.9694352191331899
-1.1272533753764713,1,0,0,0,1,0,-0.28154882572353895
1.2613246458782552,1,0,0,0,1,0,-0.14481299828736982
-0.5957894991592799,1,0,0,0,1,0,1.1131566141253864
-0.5957894991592799,1,0,0,0,1,0,-0.28154882572353895
1.1520826373466357,1,0,0,0,1,0,1.0290114895492823
1.1520826373466357,1,0,0,0,1,0,0.37057588974126776
0.11428355629624826,1,0,0,0,1,0,0.6461511727280086
1.1520826373466357,1,0,0,0,1,0,0.3242960712244105
-1.1419995418173785,1,0,0,0,1,0,1.0163897208628667
-1.1419995418173785,1,0,0,0,1,0,1.4329080875145819
0.9335986202833962,1,0,0,0,1,0,0.9553845055451912
-1.1419995418173785,1,0,0,0,1,0,0.5262443702070603
1.1520826373466357,1,0,0,0,1,0,0.20018201247465697
1.1520826373466357,1,0,0,0,1,0,0.6419439164992035
-0.2134424692986109,1,0,0,0,1,0,0.3937157989996964
-1.181874379642281,1,0,0,0,1,0,0.8312704467954376
0.45675574833201477,1,0,0,0,1,0,1.2435815572183477
-1.1419995418173785,1,0,0,0,1,0,0.9175191994859443
0.0596625520304384,1,0,0,0,1,0,0.40213031145730677
1.1520826373466357,1,0,0,0,1,0,-0.008077170851200665
-1.1966205460831885,1,0,0,1,0,0,-2.1516742194274525
